date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:12	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6196ae2a-231e31b9041f023b;gz%22	https://game.paxtraios.com/robots.txt		(from )
19:37:13	12042/12042	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Oct%202022%2017:37:12%20GMT	https://game.paxtraios.com/	C:/Users/haithem/Desktop/paxtraios/game.paxtraios.com/index.html	(from )
19:37:13	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/Users/haithem/Desktop/paxtraios/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://game.paxtraios.com/)
19:37:13	1239/1239	---M-Z	200	added ('OK')	text/css	etag:%224d7-6329f5b8-a090efc46b7f8eca;gz%22	https://game.paxtraios.com/css/style.css	C:/Users/haithem/Desktop/paxtraios/game.paxtraios.com/css/style.css	(from https://game.paxtraios.com/)
19:37:15	271751/271751	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-42587%22	https://code.jquery.com/jquery-3.3.1.js	C:/Users/haithem/Desktop/paxtraios/code.jquery.com/jquery-3.3.1.js	(from https://game.paxtraios.com/)
19:37:15	81224/81224	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-13d48%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.js	C:/Users/haithem/Desktop/paxtraios/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.js	(from https://game.paxtraios.com/)
19:37:17	860/860	---M--	200	added ('OK')	image/png	etag:%2235c-61d73794-b7fae781dadeb69f;;;%22	http://paxtraios.com/wp-content/uploads/2022/01/cropped-LOGO-non-deplie-32x32.png	C:/Users/haithem/Desktop/paxtraios/paxtraios.com/wp-content/uploads/2022/01/cropped-LOGO-non-deplie-32x32.png	(from https://game.paxtraios.com/)
19:37:17	131637/131637	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f827fe484ec04346553202782b0664b%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.js	C:/Users/haithem/Desktop/paxtraios/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.js	(from https://game.paxtraios.com/)
19:37:18	10707/10707	---M--	200	added ('OK')	image/png	etag:%2229d3-6329f5bb-bc03d182c11d740d;;;%22	https://game.paxtraios.com/image/logoasso.png	C:/Users/haithem/Desktop/paxtraios/game.paxtraios.com/image/logoasso.png	(from https://game.paxtraios.com/)
19:37:19	12042/12042	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Oct%202022%2017:37:18%20GMT	https://game.paxtraios.com/index.php	C:/Users/haithem/Desktop/paxtraios/game.paxtraios.com/index-2.html	(from https://game.paxtraios.com/)
19:37:20	1634233/1634233	---M--	200	added ('OK')	image/jpeg	etag:%2200e198619bd23e2695a485901bd5471d%22	https://phandroid.s3.amazonaws.com/wp-content/uploads/2014/05/rainbow-nebula.jpg	C:/Users/haithem/Desktop/paxtraios/phandroid.s3.amazonaws.com/wp-content/uploads/2014/05/rainbow-nebula.jpg	(from https://game.paxtraios.com/)
19:37:20	586574/586574	---M--	200	added ('OK')	image/png	etag:%228f34e-6329f5bb-c510c4af7eea1369;;;%22	https://game.paxtraios.com/image/menu.png	C:/Users/haithem/Desktop/paxtraios/game.paxtraios.com/image/menu.png	(from https://game.paxtraios.com/)
19:37:20	137/137	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Oct%202022%2017:37:20%20GMT	https://s3.bmp.ovh/imgs/2021/09/3760b5e2cc46f556.png	C:/Users/haithem/Desktop/paxtraios/s3.bmp.ovh/imgs/2021/09/3760b5e2cc46f556.a.delayed	(from https://game.paxtraios.com/css/style.css)
19:37:21	137/137	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Oct%202022%2017:37:20%20GMT	https://s3.bmp.ovh/imgs/2021/09/68c03ba1cf80ca8b.png	C:/Users/haithem/Desktop/paxtraios/s3.bmp.ovh/imgs/2021/09/68c03ba1cf80ca8b.png	(from https://game.paxtraios.com/css/style.css)
